GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierMatch,123,46,20,0,22,9,16,5,6,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer,138,3,30,0,29,1,18,1,3,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer.new FilenameFilter() {...},10,0,0,0,2,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,SwiftPackageManagerAnalyzer,155,22,20,0,38,5,17,3,7,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,HintAnalyzer,253,331,32,44,64,72,20,28,1,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NvdCveAnalyzer,12,69,1,7,4,20,1,8,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CpeSuppressionAnalyzer,4,8,0,0,2,3,2,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonDistributionAnalyzer,421,91,56,0,99,13,40,3,12,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer.new FilenameFilter() {...},14,0,0,0,2,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierConfidence,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer.ClassNameInformation,7,71,0,8,3,17,2,6,2,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyBundlingAnalyzer,414,582,140,118,96,103,105,46,5,17
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,MSBuildProjectParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathMSBuildProjectParser,82,0,8,0,21,0,6,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNugetconfParser,82,0,8,0,21,0,6,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetconfParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackageReference,65,17,14,0,10,7,9,5,2,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackage,116,31,24,0,13,13,14,9,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNuspecParser,12,97,4,6,3,16,4,4,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NuspecParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ScanAgentException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,InitializationException,35,11,0,0,11,4,5,2,5,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,DependencyNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,H2DBLockException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,NoDataException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ReportException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ExceptionCollection,159,51,6,4,47,13,16,4,12,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverShim,112,22,14,0,25,5,16,3,9,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseProperties,16,127,3,9,4,29,3,12,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader,166,33,10,0,30,11,6,4,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB,419,1426,36,144,113,356,34,89,2,31
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CorruptDatabaseException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB.PreparedStatementCveDb,0,224,0,0,0,23,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoadException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader.new PrivilegedAction() {...},23,0,0,0,2,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,ConnectionFactory,317,360,27,21,71,108,22,15,1,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,116,58,22,6,18,20,15,10,3,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,47,87,2,0,12,19,1,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,39,166,12,18,8,45,11,15,0,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,344,381,56,70,78,97,53,47,19,18
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,126,53,25,7,20,15,21,8,6,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,51,273,13,11,14,67,13,12,2,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,214,6,33,0,52,6,24,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,12,187,1,5,2,56,1,29,0,27
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,41,71,1,1,8,17,1,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,102,17,20,0,17,8,14,5,4,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,160,25,7,1,41,8,5,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomProjectInputStream,2,154,2,14,2,31,2,11,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,11,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.Element,3,82,0,0,1,18,1,17,1,17
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,115,217,31,15,22,41,24,8,1,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler.Element,8,27,0,0,2,7,2,6,2,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler,15,236,4,30,1,50,4,17,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,41,0,0,0,17,0,11,0,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.AttributeValues,3,0,0,0,1,0,1,0,1,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,14,104,0,0,6,29,1,6,1,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,UpdateableNvdCve,21,90,1,3,5,23,4,10,3,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler,37,501,6,80,9,111,8,45,2,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersionUtil,14,105,5,21,2,32,4,13,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,ExtractionUtil,507,63,48,4,105,12,32,2,6,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter.FilterIterator,8,52,2,8,2,17,3,7,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DateUtil,0,21,0,2,0,2,0,2,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,UrlStringUtils,11,174,3,15,1,27,2,11,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBLock,193,279,35,23,41,66,31,8,2,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBCleanupHook,15,20,2,0,6,8,2,4,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter.new Iterable() {...},0,16,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DBUtils,23,40,3,7,7,16,3,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBShutdownHookFactory,9,16,0,0,3,4,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersion,37,331,12,58,12,78,12,34,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,FileFilterBuilder,9,132,3,13,1,24,2,13,0,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBShutdownHook,0,3,0,0,0,1,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter,0,16,0,0,0,4,0,3,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Pair,67,49,18,2,14,12,14,4,4,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.exception,InvalidDataException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.exception,UpdateException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.central,CentralSearch,73,274,6,18,13,61,6,10,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.artifactory,ArtifactorySearch,462,0,28,0,88,0,22,0,8,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.agent,DependencyCheckScanAgent,839,0,44,0,240,0,102,0,80,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,SanitizePackage,5,79,1,5,1,8,1,4,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,NspSearch,63,261,9,8,12,55,7,5,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,Advisory,35,93,3,1,10,40,9,24,7,24
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability,91,284,13,13,21,91,14,46,4,43
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Reference,86,84,25,3,11,16,16,9,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Evidence,102,112,24,6,30,16,22,8,7,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection,139,325,28,28,33,67,25,27,2,15
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency.new Dependency.HashingFunction() {...},3,3,0,0,1,1,1,1,1,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency.new Dependency.HashingFunction() {...},3,3,0,0,1,1,1,1,1,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency.new Dependency.HashingFunction() {...},3,3,0,0,1,1,1,1,1,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency,161,700,25,39,37,158,31,65,6,58
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability.Source,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftware,95,408,16,64,25,89,20,43,6,17
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Identifier,35,110,3,3,15,22,9,13,6,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Confidence,0,44,0,0,0,5,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerDependency,118,0,28,0,22,0,20,0,6,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerLockParser,170,0,14,0,38,0,11,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,AbstractTokenizingFilter,0,51,0,4,0,15,0,7,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,LuceneUtils,21,27,4,6,7,7,4,3,1,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,SearchFieldAnalyzer,0,116,0,0,0,18,0,5,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,UrlTokenizingFilter,15,72,1,9,4,17,1,7,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,AlphaNumericTokenizer,17,0,4,0,5,0,5,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,AlphaNumericFilter,66,103,8,12,11,26,7,9,2,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,TokenPairConcatenatingFilter,65,97,7,9,10,27,6,7,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,DependencySimilarity,5,0,0,0,2,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator.Format,0,64,0,0,0,7,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,EscapeTool,24,278,17,59,11,72,17,33,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,VelocityLoggerRedirect,47,21,10,2,20,10,10,6,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator,166,527,24,51,40,128,22,33,0,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,MavenArtifact,90,113,1,3,31,15,11,8,10,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,NexusSearch,232,0,19,0,54,0,14,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.ParentType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintRule,26,177,0,0,4,37,2,19,2,19
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,EvidenceMatcher,47,84,2,16,6,14,8,12,6,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,VendorDuplicatingHintRule,8,15,0,0,4,6,2,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParser,59,85,2,0,18,20,2,5,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler,24,251,14,30,8,65,14,20,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweHandler,41,0,4,0,8,0,5,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,App,176,0,8,0,35,0,7,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweDB,21,33,1,1,8,9,1,3,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CPEHandler,136,0,16,0,32,0,14,0,6,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,Cpe,77,0,2,0,19,0,9,0,8,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CPEHandler.Element,73,0,0,0,17,0,15,0,15,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,EngineVersionCheck,66,212,14,16,25,52,17,6,3,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,RetireJSDataSource,55,205,10,12,15,44,11,6,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,NvdCveUpdater,288,589,40,50,67,135,29,29,0,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,NvdCveUpdater.TimestampRetriever,0,35,0,0,0,8,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,UpdateService,0,12,0,0,0,4,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml,XmlEntity,4,1547,2,2,2,260,2,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml,XmlInputStream,107,246,17,31,15,52,15,21,2,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,SearchException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,AnalysisException,11,5,0,0,6,2,3,1,3,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,ArchiveExtractionException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils.search,FileContentSearch,75,0,8,0,16,0,6,0,2,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,492,292,62,28,101,73,57,24,17,19
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,481,194,37,17,90,55,26,10,1,8
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,27,168,2,6,7,40,2,14,0,12
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,72,79,9,2,12,25,6,5,1,4
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,175,119,6,6,40,31,15,7,11,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,184,92,40,4,39,30,22,6,1,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,40,66,8,8,9,16,8,7,1,6
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
